2051,2001
1829,2243
1945,2765
1888,3332
1899,2107
2996,3118
1819,1828
1929,1966
2176,1966
1927,2186
3091,2341
2628,2505
2904,2967
2864,1992
2785,1987
1902,2617
2115,2505
3302,2000
2730,3096
2140,2939
2037,2505
3266,2950
1957,1815
3077,3078
2821,2208
2075,2190
2120,2180
3056,3059
3019,3305
2176,2505
2919,2263
1910,2480
1837,2152
2687,3019
2818,2258
2443,2003
3096,2033
2473,3088
1951,2143
2051,2143
2058,1933
2037,2176
2587,2029
2474,2338
2110,2342
2719,2085
1849,2540
2340,2110
2687,1799
3255,3256
1951,2142
2339,3263
2140,2938
2117,1931
2945,2946
2142,1856
3342,2917
2037,1966
2605,3331
3118,2540
3332,3186
3069,3059
2015,2196
3292,3293
2473,2605
2077,2719
3389,3387
2836,2769
2075,2113
2844,2487
2364,2489
3397,2546
2507,2794
2717,2716
2061,2573
1966,1980
2719,1918
2849,2029
3392,2689
2185,2204
1911,1880
3305,1830
1902,2027
2083,2058
2687,1830
2711,2480
2143,1856
3206,2493
2951,2480
3280,2152
1895,2190
3201,3027
1858,1885
2124,2359
2844,2846
1820,1828
2692,2499
3326,2489
2077,2085
3337,3256
2261,2070
2688,2932
2864,2086
1858,2190
3076,3081
2623,3378
3253,2932
2046,1843
2022,2864
2933,1966
2687,2162
3332,2159
2587,2849
2213,2127
2253,2850
1951,2034
2365,2570
2467,2236
2467,2091
1795,1949
2043,2159
1871,2159
2618,2127
1808,2159
2613,1936
2157,1850
3305,2162
3183,3186
3118,2228
1858,2374
3183,3332
2031,2159
3118,3183
2104,1820
3222,3223
3184,3186
3185,3380
2687,3305
1999,2849
2040,1835
1972,1907
2818,1847
2605,3232
3339,2505
3265,2904
1999,2029
2363,1975
2217,2253
2799,2801
1849,2159
3183,2993
2028,3353
2864,2159
2066,2319
2925,1927
2004,2104
1929,2407
1905,1910
2075,1869
2942,2638
2971,2132
1821,1828
1828,1835
2962,2139
1915,2020
3118,2993
2654,3029
2217,3373
2217,2850
2925,2159
2993,3380
2904,3042
2570,2972
3118,3380
2690,2010
1813,1881
3087,2473
1985,2159
2135,3186
1968,2014
2843,2405
2000,1936
1826,2159
3342,2040
3381,2135
2045,2969
3342,2318
3381,3118
1871,1859
1999,2034
3321,3264
3381,2993
2135,3380
3254,3256
2193,2960
2304,2777
2634,2631
2634,3170
2135,2228
3381,3185
3205,2493
2046,1821
3184,2031
2439,2437
2066,1843
1905,1835
1843,1820
2631,3170
2524,2525
3183,2135
3318,2313
2818,2777
3205,2495
2495,3224
2407,1966
2135,3305
2687,2135
2889,2113
2841,1932
2176,1981
3204,3206
2176,1980
2693,2692
3392,2505
2407,1981
2653,3029
2040,2104
2217,2002
3302,1936
1910,2104
1856,2034
2034,2220
1951,2487
2176,2010
3185,2031
2405,3355
3263,1990
3183,3184
2051,2487
2495,3206
2075,3263
1929,1980
2634,2632
1929,1981
1929,2010
3185,2228
2407,1980
2075,1871
2009,1936
2634,2633
2887,2885
2176,1978
3389,3390
2487,1856
3019,2993
2135,3019
2158,2027
2887,2886
2117,3373
3381,3184
2304,2836
2028,3387
2850,2117
3205,3204
2307,3201
3389,3033
1868,2295
2040,1820
3087,2606
2487,2220
2215,2040
2228,2993
3342,1822
2037,1981
3305,1949
1953,2139
2708,2709
2037,1980
2712,2480
2770,2540
2087,2407
3390,3033
2298,2301
3391,3033
1843,1828
3355,2487
2010,1794
2996,3185
2407,2849
1903,1850
1871,2540
1843,1821
1966,2072
2845,3150
2631,2633
2135,3184
2176,2805
2875,3211
3184,2228
3388,3033
2632,3170
1879,2791
2566,2498
2632,2633
2875,3226
1829,1971
2176,1801
2193,3290
2818,3290
2818,2005
2498,2493
1893,2155
2070,2032
2234,1854
1826,2540
3305,2104
2215,2301
2632,3169
2022,1992
1813,2850
1905,1843
3387,3033
2770,2159
2666,2667
2618,3238
2634,3169
2075,2111
2994,2159
2993,2671
2925,2540
2985,3224
1833,2295
2943,2436
2215,2305
2631,3169
2690,1980
2985,3206
2634,3166
3165,2634
2307,3027
3290,2961
2298,2305
2075,1897
2634,3167
2985,3205
2567,2032
3387,3353
2340,3086
2803,2794
3353,3033
1968,2180
3185,2993
3205,3224
1861,2803
2135,3185
2634,3168
3305,2993
1836,2319
2687,1992
2072,2069
1869,3263
1985,2540
3205,2494
2037,2618
2311,3263
2037,2069
3245,1990
1887,2072
2687,2993
2818,2040
2304,2769
2500,2236
2086,3150
1905,2040
3203,3206
1885,1895
3205,3203
2777,2598
2618,2213
2159,1859
1884,2040
3305,1884
3206,2494
1895,2374
1895,1897
3146,3145
1949,1842
2115,2208
3302,2009
2049,2590
2040,1843
2075,1828
2075,1922
1794,2208
1887,2069
3305,2036
2022,1871
1913,1904
2687,2036
2037,2000
